"uid","namedLocation","domainID","siteID","plotID","pointID","startDate","endDate","sampleID","subsampleID","cameraOrientation","cameraPosition","biophysicalCriteria","imageType","imageFileName","imageFileUrl","remarks","publicationDate","release"
"2d742a09-1a82-4903-8cad-549a25f0b968","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","N6",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.N6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0154.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/overstory/D20_0154.NEF",NA,"20221128T174608Z","RELEASE-2023"
"a3ca1788-db3a-4b7b-936e-f30f9485a63a","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","W2",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.W2.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0163.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/overstory/D20_0163.NEF",NA,"20221128T174608Z","RELEASE-2023"
"9a824059-a022-48c5-bad1-3b59d752a43b","PUUM_039.basePlot.dhp","D20","PUUM","PUUM_039","S6",2018-06-06 21:51:00,2018-06-13 02:38:00,"DHP.2018.01.PUUM039","DHP.2018.01.PUUM039.S6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0161.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_039/overstory/D20_0161.NEF",NA,"20221128T174608Z","RELEASE-2023"
"39f58d36-8a66-4677-921e-8042323744d9","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","E10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.E10.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0078.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0078.NEF",NA,"20221128T174608Z","RELEASE-2023"
"17d002ea-d661-4f79-b2f7-c7f01b5562af","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","E10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.E10.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0146.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0146.NEF",NA,"20221128T174608Z","RELEASE-2023"
"3654ed9b-ef6f-421f-8ff4-40bf6027224f","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","N6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.N6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0068.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0068.NEF",NA,"20221128T174608Z","RELEASE-2023"
"2036b58c-a69a-48a7-9269-0e6c58a63a52","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","W2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.W2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0090.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0090.NEF",NA,"20221128T174608Z","RELEASE-2023"
"c623d81f-237c-40d4-ae08-54f8abf629cf","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","W2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.W2.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0150.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0150.NEF",NA,"20221128T174608Z","RELEASE-2023"
"9b61471f-ec43-4d4b-85c3-2fed7d9a1f22","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","S2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.S2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0080.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0080.NEF",NA,"20221128T174608Z","RELEASE-2023"
"c75504f2-b450-4a9f-b63d-c0bc5e89e7f1","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","N2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.N2.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0140.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0140.NEF",NA,"20221128T174608Z","RELEASE-2023"
